attended,27
commanded,23
bought,41
sword,168
dance,33
yourself,145
laugh,63
wings,31
traitor,52
spare,43
college,2
modest,29
proclaim,27
happiness,31
hazard,31
infinite,29
welcome,132
proceed,23
match,44
warrant,138
tedious,34
mouth,63
protest,28
afraid,24
creature,34
unworthy,29
revenge,66
estate,27
companion,18
scarce,62
window,19
lordship,62
beaten,31
commission,26
cares,25
priest,26
tread,31
chamber,40
noise,69
whither,28
everything,33
report,87
order,62
between,182
speech,61
entreat,93
quarrel,64
figure,26
council,7
along,56
country,76
begin,68
undone,21
yonder,41
dreadful,56
until,40
fellow,131
violent,36
flight,19
letter,114
ground,63
heels,29
embrace,47
wrath,20
approach,29
misery,14
conduct,39
hostess,10
whole,106
gallant,46
offer,65
quality,27
fetch,99
undertake,39
suddenly,27
deliver,73
bottom,27
success,16
counterfeit,27
dishonour,30
midnight,18
sport,63
reputation,21
counsel,62
purse,35
meaning,27
ignorant,38
possible,26
swore,42
brother,258
proper,56
knock,40
displeasure,22
company,71
wench,16
demand,32
practice,23
innocent,39
behalf,23
endure,60
repent,31
except,17
throne,21
labour,46
prince,48
authority,26
ladyship,20
belike,10
street,55
court,106
henceforth,23
mighty,96
offence,49
stood,70
rough,46
close,60
justice,69
wives,25
ancient,58
respect,65
utter,29
going,64
prison,31
appear,78
sister,76
train,43
speaks,94
soothsayer,1
kings,50
deadly,40
sudden,62
force,74
malice,46
weeds,23
piece,75
cross,45
scene,24
natural,49
drums,19
drink,96
people,94
field,75
intend,39
intent,25
custom,21
abide,26
battle,67
merry,97
trumpet,47
strike,89
crave,38
faces,21
fight,151
affection,37
occasion,53
shortly,27
farewell,23
kneel,31
dread,39
majesty,26
unhappy,23
raise,40
slain,49
meeting,31
throat,23
parted,29
doubt,106
maids,21
chance,68
beyond,39
vantage,19
staff,18
empty,36
stone,20
personal,11
witch,20
armour,26
emperor,5
villain,67
blows,36
fairy,31
commend,52
hateful,37
loose,32
courage,30
enter,86
shore,16
round,49
minister,26
stroke,30
study,35
stuff,37
peril,23
visit,48
shepherd,21
remedy,11
avoid,21
condition,29
courtesy,16
morrow,18
lands,29
uncle,83
disposition,22
brook,28
mirth,19
safety,40
ready,70
chain,29
judge,38
smile,44
weeping,29
surely,24
sweat,24
forest,43
cheer,40
awhile,21
opinion,43
fruit,25
seven,55
beard,39
slender,7
tarry,20
church,20
hereafter,14
murder,33
doors,33
hollow,39
vengeance,35
claim,49
sought,29
satisfied,12
spring,29
flood,22
according,22
merchant,12
device,16
dinner,21
porter,7
depart,32
pound,39
tailor,15
damned,41
naked,37
bearing,51
fatal,36
weapons,19
knees,25
rivers,7
defend,59
tribunes,14
brows,20
senator,2
thunder,24
cease,26
victory,13
exeunt,2
monster,18
fourth,7
bodies,29
awake,24
obedience,19
execution,24
banish,27
supper,20
entertainment,17
clothes,21
chair,15
regard,25
charity,22
degree,21
names,24
garden,31
abroad,19
provided,20
forces,32
whore,9
treason,41
reverence,19
citizen,2
dagger,23
perhaps,19
doctor,10
reign,18
stomach,14
prologue,11
complete,13
rogue,19
murther,17
realm,24
rascal,20
pistol,1
asleep,12
month,22
lieutenant,5
maintain,30
tempest,27
mischief,22
elbow,3
challenge,33
sirrah,2
castle,15
liege,4
constable,5
bishop,2
storm,23
cardinal,2
niece,23
tonight,18
steward,11
tower,2
permission,0
gaunt,1
includes,1
protector,0
library,1
countess,0
highness,0
their,1933
often,115
certain,115
copyright,6
should,1386
proud,141
further,115
would,1973
about,307
version,0
those,457
first,336
please,279
least,66
hours,85
hundred,103
which,1336
number,35
paper,49
these,1033
other,543
point,89
general,127
since,251
effect,40
right,192
subject,65
copies,2
although,32
plain,82
request,31
cannot,675
party,37
receive,70
discover,26
within,200
money,91
person,75
return,115
second,90
above,95
public,52
works,18
freely,33
